country,continent,total_confirmed,total_deaths,total_recovered,active_cases,serious_or_critical,total_cases_per_1m_population,total_deaths_per_1m_population,total_tests,total_tests_per_1m_population,population
Lithuania,Europe,277623,4335.0,263216.0,10072.0,109.0,103348,1614.0,3592462.0,1337329.0,2686296
Luxembourg,Europe,70406,818.0,68943.0,645.0,3.0,110778,1287.0,2972258.0,4676619.0,635557
Macedonia,Europe,155507,5470.0,149612.0,425.0,25.0,74645,2626.0,826661.0,396805.0,2083293
Madagascar,Africa,41869,879.0,40190.0,800.0,95.0,1476,31.0,207494.0,7317.0,28358680
Malawi,Africa,34470,1158.0,32709.0,603.0,7.0,1759,59.0,252082.0,12866.0,19593554
Malaysia,Asia,646411,3768.0,563779.0,78864.0,912.0,19734,115.0,13120217.0,400538.0,32756466
Maldives,Asia,69831,192.0,56559.0,13080.0,90.0,127082,349.0,923337.0,1680334.0,549496
Mali,Africa,14336,523.0,9903.0,3910.0,,689,25.0,304661.0,14649.0,20797354
Malta,Europe,30579,419.0,30096.0,64.0,,69081,947.0,949582.0,2145206.0,442653
Marshall Islands,Australia/Oceania,4,,4.0,0.0,,67,,,,59567
Martinique,North America,12110,98.0,98.0,11914.0,5.0,32294,261.0,186858.0,498301.0,374990
Mauritania,Africa,20005,473.0,19043.0,489.0,16.0,4199,99.0,282232.0,59239.0,4764263
Mauritius,Africa,1566,18.0,1243.0,305.0,,1229,14.0,358675.0,281587.0,1273761
Mayotte,Africa,20176,173.0,2964.0,17039.0,6.0,72317,620.0,176919.0,634136.0,278992
Mexico,North America,2448820,229821.0,1948268.0,270731.0,4798.0,18807,1765.0,7206669.0,55347.0,130209100
Micronesia,Australia/Oceania,1,,1.0,0.0,,9,,,,116159
Moldova,Europe,255715,6149.0,248501.0,1065.0,53.0,63530,1528.0,1162718.0,288867.0,4025101
Monaco,Europe,2520,33.0,2473.0,14.0,1.0,63791,835.0,51953.0,1315133.0,39504
Mongolia,Asia,73896,351.0,56449.0,17096.0,126.0,22205,105.0,3050108.0,916512.0,3327951
Montenegro,Europe,99914,1597.0,97844.0,473.0,60.0,159063,2542.0,427817.0,681084.0,628141
Montserrat,North America,20,1.0,19.0,0.0,,4004,200.0,1408.0,281882.0,4995
Morocco,Africa,523165,9202.0,510623.0,3340.0,107.0,14017,247.0,6612440.0,177170.0,37322618
Mozambique,Africa,71355,840.0,69878.0,637.0,17.0,2225,26.0,565793.0,17639.0,32076119
Myanmar,Asia,145064,3239.0,132765.0,9060.0,,2649,59.0,2641919.0,48251.0,54753832
Namibia,Africa,62806,973.0,53734.0,8099.0,68.0,24304,377.0,462097.0,178819.0,2584165
Nepal,Asia,604396,8305.0,520816.0,75275.0,,20398,280.0,3198702.0,107957.0,29629496
Netherlands,Europe,1670498,17708.0,1560046.0,92744.0,289.0,97288,1031.0,14248931.0,829841.0,17170672
New Caledonia,Australia/Oceania,128,,58.0,70.0,,444,,33057.0,114747.0,288085
New Zealand,Australia/Oceania,2702,26.0,2647.0,29.0,,540,5.0,2186193.0,437055.0,5002100
Nicaragua,North America,7662,188.0,4225.0,3249.0,,1144,28.0,,,6698786
Niger,Africa,5446,192.0,5161.0,93.0,2.0,218,8.0,111417.0,4452.0,25025730
Nigeria,Africa,167051,2117.0,163430.0,1504.0,11.0,792,10.0,2180444.0,10337.0,210932837
Norway,Europe,127874,789.0,88952.0,38133.0,11.0,23415,144.0,5847413.0,1070717.0,5461212
Oman,Asia,230219,2467.0,207795.0,19957.0,345.0,44032,472.0,1550000.0,296455.0,5228445
Pakistan,Asia,939931,21633.0,875581.0,42717.0,2760.0,4179,96.0,13781668.0,61273.0,224922985
Panama,North America,386269,6427.0,371015.0,8827.0,105.0,88216,1468.0,2776097.0,634005.0,4378667
Papua New Guinea,Australia/Oceania,16621,164.0,15942.0,515.0,7.0,1825,18.0,125919.0,13828.0,9106314
Paraguay,South America,387687,10561.0,319572.0,57554.0,618.0,53733,1464.0,1395831.0,193461.0,7215047
Peru,South America,1998056,188100.0,,,2597.0,59815,5631.0,13371116.0,400283.0,33404191
Philippines,Asia,1300349,22507.0,1216497.0,61345.0,1704.0,11720,203.0,13989704.0,126085.0,110954199
Poland,Europe,2877007,74515.0,2647688.0,154804.0,350.0,76096,1971.0,16522649.0,437021.0,37807440
Portugal,Europe,855951,17044.0,814318.0,24589.0,72.0,84176,1676.0,12266241.0,1206286.0,10168602
Qatar,Asia,219466,574.0,216483.0,2409.0,87.0,78163,204.0,2071976.0,737934.0,2807805
Reunion,Africa,27235,212.0,25088.0,1935.0,35.0,30216,235.0,102720.0,113964.0,901338
Romania,Europe,1079530,31681.0,1043803.0,4046.0,255.0,56472,1657.0,9348322.0,489024.0,19116269
Russia,Europe,5180454,125674.0,4782183.0,272597.0,2300.0,35484,861.0,141900000.0,971961.0,145993575
Rwanda,Africa,27862,368.0,26341.0,1153.0,6.0,2102,28.0,1493767.0,112708.0,13253433
Saint Barthelemy,North America,1005,1.0,462.0,542.0,,101464,101.0,26385.0,2663806.0,9905
Saint Helena,Africa,2,,2.0,0.0,,328,,,,6094
Saint Kitts And Nevis,North America,83,,51.0,32.0,,1550,,16831.0,314281.0,53554
Saint Lucia,North America,5168,80.0,4968.0,120.0,1.0,28023,434.0,50412.0,273356.0,184419
Saint Martin,North America,2040,12.0,1399.0,629.0,7.0,51927,305.0,27588.0,702235.0,39286
Saint Pierre And Miquelon,North America,25,,25.0,0.0,,4335,,5736.0,994625.0,5767
Saint Vincent And The Grenadines,North America,2132,12.0,1889.0,231.0,2.0,19160,108.0,50891.0,457353.0,111273
Samoa,Australia/Oceania,3,,3.0,0.0,,15,,,,199658
San Marino,Europe,5090,90.0,4998.0,2.0,,149715,2647.0,66865.0,1966733.0,33998
Sao Tome And Principe,Africa,2356,37.0,2306.0,13.0,,10566,166.0,14270.0,63996.0,222984
Saudi Arabia,Asia,463703,7537.0,446054.0,10112.0,1559.0,13127,213.0,20203947.0,571961.0,35323967
Senegal,Africa,41900,1150.0,40449.0,301.0,9.0,2442,67.0,534832.0,31172.0,17157677
Serbia,Europe,714634,6951.0,702994.0,4689.0,19.0,82103,799.0,4259803.0,489402.0,8704091
Seychelles,Africa,12973,46.0,11634.0,1293.0,,131145,465.0,21504.0,217386.0,98921
Sierra Leone,Africa,4312,82.0,3169.0,1061.0,,530,10.0,153646.0,18900.0,8129382
Singapore,Asia,62245,34.0,61799.0,412.0,1.0,10561,6.0,12366898.0,2098316.0,5893725
Sint Maarten,North America,2518,31.0,2414.0,73.0,2.0,58105,715.0,28642.0,660944.0,43335
Slovakia,Europe,390893,12433.0,377007.0,1453.0,48.0,71564,2276.0,2883850.0,527971.0,5462140
Slovenia,Europe,256224,4398.0,248743.0,3083.0,48.0,123232,2115.0,1313619.0,631788.0,2079208
Solomon Islands,Australia/Oceania,20,,20.0,0.0,,28,,4500.0,6404.0,702688
Somalia,Africa,14779,774.0,7016.0,6989.0,,906,47.0,138028.0,8463.0,16308802
South Africa,Africa,1730106,57592.0,1598293.0,74221.0,546.0,28829,960.0,12092681.0,201502.0,60012828
South Korea,Asia,147422,1982.0,138037.0,7403.0,155.0,2873,39.0,10140535.0,197629.0,51310862
South Sudan,Africa,10688,115.0,10514.0,59.0,,944,10.0,164472.0,14533.0,11317335
Spain,Europe,3733600,80501.0,3509730.0,143369.0,966.0,79826,1721.0,51240666.0,1095544.0,46771885
Sri Lanka,Asia,218923,2073.0,184090.0,32760.0,,10183,96.0,3633410.0,169012.0,21497986
State Of Palestine,Asia,311018,3524.0,302944.0,4550.0,18.0,59665,676.0,1853771.0,355624.0,5212723
Sudan,Africa,36203,2719.0,29841.0,3643.0,,808,61.0,232965.0,5199.0,44810191
Suriname,South America,17799,390.0,13664.0,3745.0,35.0,30087,659.0,69259.0,117073.0,591587
Swaziland,Africa,18723,676.0,17938.0,109.0,10.0,15982,577.0,216482.0,184793.0,1171483
Sweden,Europe,1083456,14537.0,1018539.0,50380.0,118.0,106653,1431.0,10239089.0,1007916.0,10158668
Switzerland,Europe,700051,10859.0,666384.0,22808.0,88.0,80334,1246.0,7945174.0,911739.0,8714309
Syria,Asia,24767,1806.0,21663.0,1298.0,,1384,101.0,103566.0,5786.0,17899562
Taiwan,Asia,12746,411.0,1133.0,11202.0,,534,17.0,1197200.0,50181.0,23857483
Tajikistan,Asia,13308,90.0,13218.0,0.0,,1366,9.0,,,9738767
Tanzania,Africa,509,21.0,183.0,305.0,7.0,8,,,,61328577
Thailand,Asia,193105,1431.0,150271.0,41403.0,1169.0,2760,20.0,8124896.0,116127.0,69965349
Timor Leste,Asia,8145,18.0,6511.0,1616.0,,6069,13.0,92122.0,68643.0,1342046
Togo,Africa,13597,126.0,13294.0,177.0,,1607,15.0,344421.0,40708.0,8460832
Trinidad And Tobago,North America,28106,644.0,18009.0,9453.0,22.0,20022,459.0,206150.0,146855.0,1403766
Tunisia,Africa,364819,13365.0,319475.0,31979.0,424.0,30567,1120.0,1549014.0,129786.0,11935141
Turkey,Asia,5319359,48593.0,5192945.0,77821.0,1009.0,62438,570.0,56570784.0,664022.0,85194096
Turks And Caicos Islands,North America,2421,18.0,2387.0,16.0,2.0,61744,459.0,94789.0,2417470.0,39210
Uganda,Africa,58515,408.0,47760.0,10347.0,24.0,1243,9.0,1178182.0,25018.0,47093315
UK,Europe,4550944,127884.0,4284733.0,138327.0,158.0,66707,1875.0,193264021.0,2832849.0,68222484
Ukraine,Europe,2222701,51646.0,2125685.0,45370.0,177.0,51114,1188.0,10460411.0,240551.0,43485203
United Arab Emirates,Asia,593894,1720.0,573194.0,18980.0,,59372,172.0,52853775.0,5283821.0,10002945
Uruguay,South America,333484,4906.0,293332.0,35246.0,466.0,95689,1408.0,2507090.0,719375.0,3485094
USA,North America,34306446,614738.0,28346324.0,5345384.0,4925.0,103074,1847.0,493246114.0,1481959.0,332833770
Uzbekistan,Asia,103206,705.0,99152.0,3349.0,23.0,3042,21.0,1377915.0,40616.0,33925709
Vanuatu,Australia/Oceania,4,1.0,3.0,0.0,,13,3.0,23000.0,73276.0,313881
Venezuela,South America,248820,2797.0,228998.0,17025.0,291.0,8774,99.0,3359014.0,118443.0,28359773
Viet Nam,Asia,10137,58.0,3804.0,6275.0,,103,,6282417.0,63999.0,98164129
Wallis And Futuna Islands,Australia/Oceania,445,7.0,438.0,0.0,,40264,633.0,20508.0,1855592.0,11052
Western Sahara,Africa,10,1.0,8.0,1.0,,16,2.0,,,611118
Yemen,Asia,6856,1342.0,3697.0,1817.0,23.0,225,44.0,78099.0,2565.0,30442770
Zambia,Africa,107974,1348.0,95674.0,10952.0,456.0,5723,71.0,1670458.0,88541.0,18866484
Zimbabwe,Africa,39688,1629.0,36970.0,1089.0,2.0,2634,108.0,592620.0,39334.0,15066546
